countryLabel,location,population,index,indexDate
Belgium,Point(4.668055555 50.641111111),9830358,0.936,2019-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),11035948,0.936,2019-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),4529465,0.936,2019-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10004486,0.936,2019-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9830358,0.931,2017-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),11035948,0.931,2017-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),4529465,0.931,2017-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9830358,0.937,2021-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),11035948,0.937,2021-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),4529465,0.937,2021-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9830358,0.924,2015-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),11035948,0.924,2015-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),4529465,0.924,2015-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9830358,0.928,2020-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),11035948,0.928,2020-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),4529465,0.928,2020-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9830358,0.921,2014-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),11035948,0.921,2014-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),4529465,0.921,2014-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9830358,0.927,2016-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),11035948,0.927,2016-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),4529465,0.927,2016-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9830358,0.933,2018-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),11035948,0.933,2018-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),4529465,0.933,2018-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9830358,0.916,2013-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),11035948,0.916,2013-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),4529465,0.916,2013-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9855372,0.936,2019-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10445852,0.936,2019-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10021997,0.936,2019-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9855372,0.931,2017-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10445852,0.931,2017-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10021997,0.931,2017-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9855372,0.937,2021-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10445852,0.937,2021-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10021997,0.937,2021-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9855372,0.924,2015-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10445852,0.924,2015-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10021997,0.924,2015-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9855372,0.928,2020-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10445852,0.928,2020-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10021997,0.928,2020-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9855372,0.921,2014-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10445852,0.921,2014-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10021997,0.921,2014-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9855372,0.927,2016-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10445852,0.927,2016-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10021997,0.927,2016-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9855372,0.933,2018-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10445852,0.933,2018-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10021997,0.933,2018-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9855372,0.916,2013-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10445852,0.916,2013-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),10021997,0.916,2013-01-01T00:00:00Z
Belgium,Point(4.668055555 50.641111111),9978681,0.936,2019-01-01T00:00:00Z
