countryLabel,location,population,index,indexDate
Zambia,Point(28.0 -14.0),12825031,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3269151,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),13216985,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),5660893,0.564,2016-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),12825031,0.564,2016-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3269151,0.564,2016-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),5660893,0.554,2013-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),12825031,0.554,2013-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3269151,0.554,2013-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),5660893,0.575,2019-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),12825031,0.575,2019-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3269151,0.575,2019-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),5660893,0.572,2018-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),12825031,0.572,2018-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3269151,0.572,2018-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),5660893,0.562,2015-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),12825031,0.562,2015-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3269151,0.562,2015-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),5660893,0.557,2014-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),12825031,0.557,2014-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3269151,0.557,2014-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),5660893,0.568,2017-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),12825031,0.568,2017-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3269151,0.568,2017-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),5660893,0.57,2020-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),12825031,0.57,2020-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3269151,0.57,2020-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10100981,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),9577483,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3580708,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10100981,0.564,2016-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),9577483,0.564,2016-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3580708,0.564,2016-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10100981,0.554,2013-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),9577483,0.554,2013-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3580708,0.554,2013-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10894519,0.575,2019-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10100981,0.575,2019-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),9577483,0.575,2019-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3580708,0.575,2019-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10894519,0.572,2018-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10100981,0.572,2018-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),9577483,0.572,2018-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3580708,0.572,2018-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10894519,0.562,2015-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10100981,0.562,2015-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),9577483,0.562,2015-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3580708,0.562,2015-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10894519,0.557,2014-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10100981,0.557,2014-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),9577483,0.557,2014-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10894519,0.568,2017-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10100981,0.568,2017-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),9577483,0.568,2017-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10894519,0.57,2020-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),10100981,0.57,2020-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),9577483,0.57,2020-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8229480,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8841338,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8038236,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),5660893,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8229480,0.564,2016-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8841338,0.564,2016-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8038236,0.564,2016-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8229480,0.554,2013-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8841338,0.554,2013-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8038236,0.554,2013-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8229480,0.575,2019-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8841338,0.575,2019-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8038236,0.575,2019-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8229480,0.572,2018-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8841338,0.572,2018-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8038236,0.572,2018-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8229480,0.562,2015-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8841338,0.562,2015-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8038236,0.562,2015-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8229480,0.557,2014-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8841338,0.557,2014-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8038236,0.557,2014-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8229480,0.568,2017-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8841338,0.568,2017-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8038236,0.568,2017-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8229480,0.57,2020-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8841338,0.57,2020-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),8038236,0.57,2020-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),3173662,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),6636560,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),4333234,0.565,2021-01-01T00:00:00Z
Zambia,Point(28.0 -14.0),13216985,0.564,2016-01-01T00:00:00Z
